produce_type,temperature,humidity,voc,storage_age,initial_shelf_life,remaining_shelf_life
Onion,27.0,51.5,0.534,112.1,180,0.0
Carrot,2.2,100.0,0.176,20.3,30,4.0
Potato,5.3,92.8,0.043,40.9,200,148.8
Banana,27.0,83.2,5.679,17.5,20,0.0
Cucumber,28.7,62.2,1.757,9.8,14,0.0
Bell Pepper,9.2,92.3,0.423,10.5,18,2.1
Strawberry,0.8,88.6,1.339,4.6,5,0.0
Apple,2.4,94.8,1.143,149.8,180,0.0
Mango,21.6,82.3,4.068,12.3,21,0.0
Orange,20.2,74.7,1.272,39.1,70,0.0
Mango,14.7,90.3,0.698,3.9,21,13.4
Onion,33.5,52.8,0.924,119.6,180,0.0
Strawberry,-2.0,91.8,0.065,0.3,5,4.6
Apple,0.4,90.5,0.82,146.7,180,0.0
Carrot,0.6,89.0,0.082,7.8,30,17.7
Strawberry,0.6,100.0,0.373,1.4,5,2.5
Broccoli,-1.4,96.4,0.25,12.7,18,0.9
Mango,22.3,87.5,2.339,5.4,21,0.0
Mango,33.0,83.9,1.824,1.9,21,0.0
Mango,34.5,70.4,15.0,18.0,21,0.0
Carrot,1.3,97.2,0.268,27.9,30,0.0
Strawberry,-2.0,88.2,0.427,1.7,5,2.1
Grapes,35.6,68.1,15.0,39.7,45,0.0
Broccoli,33.6,70.9,4.664,6.0,18,0.0
Tomato,36.1,69.3,0.069,0.1,21,19.5
Onion,19.5,69.4,0.188,102.2,180,52.0
Apple,0.2,94.4,0.616,104.1,180,0.0
Grapes,0.3,97.0,0.236,21.6,45,14.4
Cucumber,11.3,95.8,0.165,4.7,14,8.3
Onion,29.6,54.0,0.143,21.6,180,88.2
Bell Pepper,22.9,82.0,0.628,3.9,18,0.0
Broccoli,-0.5,99.7,0.2,9.0,18,6.5
Potato,21.7,78.8,0.722,109.9,200,0.0
Banana,31.5,69.8,11.811,15.3,20,0.0
Grapes,9.1,85.0,0.833,22.2,45,0.0
Carrot,37.6,58.8,2.537,6.6,30,0.0
Spinach,9.7,93.8,0.162,5.1,12,0.0
Carrot,1.5,98.4,0.042,3.5,30,26.3
Banana,32.3,73.3,6.837,10.1,20,0.0
Onion,30.4,56.8,0.709,110.4,180,0.0
Orange,16.5,82.7,1.328,48.2,70,0.0
Cucumber,33.7,71.2,0.858,2.3,14,0.0
Broccoli,33.6,81.1,4.262,7.1,18,0.0
Mango,12.4,88.7,0.4,3.4,21,15.6
Potato,6.6,92.9,0.02,16.4,200,182.1
Bell Pepper,12.7,78.2,0.225,4.1,18,6.7
Mango,9.5,89.1,1.591,18.5,21,0.0
Apple,31.9,81.5,15.0,140.3,180,0.0
Strawberry,34.5,66.9,2.736,0.3,5,0.0
Strawberry,12.9,83.6,2.311,2.2,5,0.0
Spinach,11.5,85.8,0.256,5.1,12,0.0
Tomato,18.9,86.2,0.923,9.2,21,0.5
Grapes,-1.0,97.9,0.033,2.8,45,41.6
Cucumber,23.5,75.3,0.665,4.7,14,0.0
Cucumber,10.9,96.2,0.031,0.9,14,13.1
Potato,24.7,81.1,1.167,152.5,200,0.0
Grapes,0.4,94.9,0.1,11.7,45,31.4
Onion,29.6,67.9,0.381,74.8,180,0.0
Strawberry,35.0,84.6,15.0,4.4,5,0.0
Potato,15.1,81.3,0.235,78.2,200,0.0
Cucumber,29.3,51.6,0.911,4.2,14,0.0
Mango,14.0,96.1,1.487,12.2,21,0.0
Cucumber,12.6,96.8,0.248,5.1,14,7.2
Broccoli,-0.6,96.3,0.301,16.7,18,0.0
Cucumber,32.5,61.3,3.312,10.1,14,0.0
Broccoli,-0.6,97.8,0.031,1.3,18,16.7
Potato,8.9,96.3,0.123,76.5,200,104.7
Cucumber,18.4,88.8,1.067,11.4,14,0.0
Carrot,-2.0,100.0,0.027,4.3,30,24.6
Onion,36.2,74.7,1.222,113.5,180,0.0
Grapes,8.4,81.9,1.414,39.2,45,0.0
Onion_Green,28.7,58.7,4.267,19.5,25,0.0
Bell Pepper,8.9,98.7,0.503,13.2,18,0.0
Broccoli,2.5,100.0,0.053,2.3,18,15.1
Banana,30.1,71.5,5.214,8.6,20,0.0
Spinach,13.0,89.0,0.083,1.6,12,4.7
Onion,21.2,69.0,0.173,75.2,180,86.1
Carrot,28.3,65.7,3.303,23.7,30,0.0
Strawberry,15.1,82.9,2.396,1.9,5,0.0
Onion_Green,1.7,100.0,0.101,8.2,25,15.0
Onion,35.0,57.4,0.514,47.2,180,0.0
Banana,16.5,91.2,1.551,15.5,20,0.0
Banana,31.8,84.8,13.518,18.0,20,0.0
Onion_Green,30.2,80.2,2.06,6.2,25,0.0
Potato,19.7,84.9,0.056,14.6,200,142.5
Onion,20.1,68.4,0.278,118.5,180,21.3
Spinach,0.6,100.0,0.026,1.7,12,10.2
Onion_Green,14.3,81.2,0.484,7.3,25,0.0
Tomato,13.3,97.9,0.301,5.5,21,8.5
Strawberry,31.5,78.4,15.0,4.4,5,0.0
Tomato,35.0,56.5,6.851,12.0,21,0.0
Spinach,32.7,73.1,0.138,0.4,12,2.6
Onion_Green,-2.0,97.2,0.185,17.4,25,2.4
Carrot,-0.8,100.0,0.238,22.7,30,0.0
Carrot,8.0,81.9,0.102,4.4,30,13.4
Onion_Green,-0.9,97.5,0.08,4.7,25,19.8
Mango,22.2,84.3,5.895,18.9,21,0.0
Orange,30.0,62.5,6.688,65.2,70,0.0
Orange,4.5,96.6,0.508,52.9,70,0.0
Strawberry,28.9,51.5,12.311,2.4,5,0.0
Cucumber,10.6,100.0,0.35,13.2,14,0.0
Onion_Green,9.1,93.3,0.593,14.7,25,0.0
Strawberry,33.0,76.1,15.0,2.4,5,0.0
Potato,8.1,90.4,0.07,70.6,200,121.2
Cucumber,20.0,98.7,1.4,12.6,14,0.0
Bell Pepper,7.6,92.0,0.135,4.3,18,12.5
Grapes,1.9,90.0,0.026,2.7,45,41.9
Tomato,16.5,85.4,0.365,3.9,21,15.3
Cucumber,11.3,98.9,0.021,0.6,14,13.4
Carrot,0.2,95.2,0.182,17.0,30,8.5
Onion,29.9,84.7,0.774,138.4,180,0.0
Apple,2.1,89.1,0.594,96.4,180,6.7
Onion,29.5,61.8,0.399,66.1,180,0.0
Onion,30.0,43.2,0.823,119.3,180,0.0
Orange,29.1,54.6,5.083,56.0,70,0.0
Cucumber,27.4,84.2,1.584,10.3,14,0.0
Orange,18.7,77.3,2.197,63.6,70,0.0
Carrot,12.2,90.1,0.818,24.3,30,0.0
Grapes,-2.0,90.0,0.277,28.6,45,3.5
Carrot,31.3,83.5,2.671,13.3,30,0.0
Onion_Green,35.2,72.1,12.682,18.9,25,0.0
Spinach,6.8,88.3,0.085,2.9,12,5.3
Onion_Green,-0.7,90.0,0.303,22.1,25,0.0
Banana,21.7,86.1,2.064,8.4,20,0.0
Strawberry,14.9,82.7,2.722,2.5,5,0.0
Potato,6.9,93.8,0.067,54.0,200,138.4
Banana,17.0,100.0,1.913,11.2,20,0.0
Grapes,-0.2,91.6,0.091,8.7,45,35.3
Tomato,16.8,83.7,0.636,8.3,21,5.5
Bell Pepper,22.5,77.5,1.423,13.2,18,0.0
Tomato,15.9,87.7,1.154,14.6,21,0.0
Orange,29.8,80.2,6.727,51.2,70,0.0
Carrot,2.4,92.1,0.178,22.1,30,0.0
Apple,0.8,94.3,0.632,139.5,180,0.0
Orange,8.1,81.7,0.418,33.8,70,5.3
Broccoli,35.4,70.4,5.352,8.4,18,0.0
Tomato,14.5,82.7,0.717,9.4,21,1.4
Broccoli,33.8,58.0,1.055,1.5,18,0.0
Mango,16.2,92.8,0.964,6.1,21,6.6
Banana,28.4,65.6,3.928,8.8,20,0.0
Apple,15.5,84.2,3.483,119.9,180,0.0
Banana,12.0,90.1,0.467,4.4,20,12.5
Tomato,12.0,90.3,0.033,0.6,21,20.0
Strawberry,10.1,84.7,3.329,3.9,5,0.0
Orange,5.5,94.3,0.061,7.0,70,60.3
Potato,29.4,60.2,2.172,184.1,200,0.0
Cucumber,10.8,94.1,0.164,5.0,14,7.9
Apple,0.5,99.7,0.178,34.6,180,125.3
Cucumber,10.9,93.9,0.109,3.1,14,10.4
Strawberry,33.9,75.2,15.0,3.1,5,0.0
Grapes,-2.0,99.6,0.108,15.3,45,21.4
Grapes,1.0,95.1,0.043,3.6,45,41.0
Broccoli,-2.0,99.3,0.174,9.4,18,5.6
Orange,9.8,95.3,0.778,58.5,70,0.0
Mango,15.5,94.5,2.789,17.3,21,0.0
Orange,15.1,67.7,0.921,37.2,70,0.0
Potato,5.4,100.0,0.205,157.5,200,0.0
Cucumber,36.7,56.0,0.51,1.1,14,0.0
Strawberry,29.8,81.9,6.046,1.1,5,0.0
Mango,21.7,88.2,0.053,0.2,21,20.5
Cucumber,14.9,100.0,0.437,8.4,14,0.0
Tomato,33.8,77.2,4.72,9.9,21,0.0
Grapes,-0.2,92.8,0.209,21.5,45,18.0
Orange,33.6,66.8,3.54,17.3,70,0.0
Potato,31.9,79.7,2.441,174.9,200,0.0
Grapes,5.5,99.6,0.07,4.9,45,35.2
Broccoli,34.4,83.3,1.064,1.7,18,0.0
Tomato,16.5,96.6,0.086,1.1,21,19.1
Banana,12.8,91.8,0.581,5.8,20,10.1
Potato,15.4,94.0,0.54,178.1,200,0.0
Grapes,-0.3,97.0,0.18,18.0,45,20.7
Grapes,1.7,90.5,0.19,12.4,45,28.8
Banana,36.0,69.5,4.214,4.2,20,0.0
Onion_Green,32.5,59.0,4.249,12.4,25,0.0
Cucumber,13.2,90.0,0.306,8.5,14,0.4
Cucumber,30.8,79.6,0.223,0.9,14,4.8
Spinach,3.2,96.3,0.184,8.3,12,1.0
Bell Pepper,17.7,75.0,1.318,15.5,18,0.0
Orange,6.7,88.1,0.01,0.9,70,69.1
Apple,3.4,88.3,1.408,164.4,180,0.0
Cucumber,26.2,83.9,1.27,7.9,14,0.0
Onion_Green,9.1,91.5,0.157,5.0,25,9.5
Mango,29.3,60.9,0.418,0.6,21,12.4
Spinach,34.0,51.1,3.677,7.3,12,0.0
Broccoli,0.3,100.0,0.234,10.8,18,3.7
Onion_Green,-0.4,96.5,0.073,4.2,25,20.4
Potato,37.3,80.6,2.534,99.3,200,0.0
Strawberry,28.8,80.2,6.046,1.4,5,0.0
Bell Pepper,21.3,78.7,0.32,2.5,18,4.8
Grapes,28.5,81.2,3.572,16.4,45,0.0
Bell Pepper,28.0,56.6,1.083,3.8,18,0.0
Banana,16.0,89.0,1.98,10.1,20,0.0
Carrot,30.6,82.5,3.306,19.1,30,0.0
Spinach,1.4,98.8,0.129,7.3,12,3.5
Bell Pepper,37.9,78.3,5.673,8.1,18,0.0
Cucumber,29.9,75.4,1.468,6.6,14,0.0
Carrot,1.3,100.0,0.293,27.8,30,0.0
Onion_Green,9.8,88.2,0.899,23.6,25,0.0
Cucumber,32.9,66.5,2.133,7.7,14,0.0
Cucumber,10.8,92.0,0.469,12.9,14,0.0
Spinach,3.4,95.6,0.029,1.3,12,10.5
Grapes,32.5,58.7,4.326,13.6,45,0.0
Onion_Green,33.9,84.1,6.486,11.4,25,0.0
Onion,17.6,73.1,0.099,46.1,180,113.3
Apple,33.0,72.2,15.0,106.8,180,0.0
Strawberry,1.4,94.5,1.187,3.2,5,0.0
Grapes,12.7,78.8,1.169,33.3,45,0.0
Potato,30.8,71.8,0.47,31.4,200,0.0
Bell Pepper,9.8,94.5,0.263,5.1,18,11.2
Carrot,1.6,96.1,0.028,2.4,30,27.5
Tomato,36.4,57.4,3.087,5.8,21,0.0
Banana,23.7,84.1,4.688,14.1,20,0.0
Potato,5.1,98.8,0.016,17.7,200,173.2
Onion,30.8,64.3,0.047,6.5,180,157.6
Potato,7.4,92.9,0.204,142.8,200,18.9
Cucumber,12.6,100.0,0.239,6.2,14,4.9
Strawberry,0.9,89.8,0.855,3.0,5,0.0
Potato,36.2,54.8,3.281,134.1,200,0.0
Spinach,29.8,82.8,2.967,9.0,12,0.0
Cucumber,11.0,90.6,0.273,6.4,14,4.7
Tomato,28.3,52.9,5.695,18.8,21,0.0
Orange,30.2,82.9,4.225,32.4,70,0.0
Apple,10.7,76.6,2.042,108.9,180,0.0
Tomato,15.8,89.6,0.39,5.8,21,12.2
Apple,2.5,93.9,0.098,13.0,180,165.1
Bell Pepper,33.4,52.4,0.521,1.8,18,0.0
Onion,32.5,59.9,0.756,89.5,180,0.0
Tomato,35.3,84.5,3.845,6.0,21,0.0
Apple,31.3,76.2,15.0,139.8,180,0.0
Tomato,36.0,80.4,8.002,13.9,21,0.0
Strawberry,2.0,87.3,0.469,1.8,5,1.9
Apple,0.8,100.0,0.379,56.4,180,76.3
Potato,18.3,81.8,0.513,121.6,200,0.0
Bell Pepper,33.1,72.6,0.497,1.1,18,1.8
Cucumber,13.0,93.4,0.177,4.2,14,8.6
Spinach,2.9,96.5,0.072,4.5,12,6.8
Tomato,17.2,83.8,1.433,13.6,21,0.0
Orange,6.8,82.9,0.275,26.8,70,28.8
Potato,36.5,83.1,4.018,174.0,200,0.0
Spinach,-0.0,100.0,0.046,3.9,12,7.6
Bell Pepper,7.9,92.1,0.386,8.6,18,4.6
Strawberry,3.0,96.2,0.542,1.3,5,2.6
Onion,32.5,69.1,0.142,19.1,180,98.2
Cucumber,13.8,96.1,0.477,10.5,14,0.0
Potato,6.7,88.9,0.247,168.9,200,0.0
Mango,31.1,50.1,3.286,4.7,21,0.0
Broccoli,1.0,100.0,0.058,2.2,18,15.5
Broccoli,7.7,86.9,0.352,9.1,18,0.0
Apple,2.8,89.7,0.072,10.3,180,167.9
Onion_Green,-2.0,99.6,0.222,17.7,25,0.6
Spinach,29.4,57.7,2.521,7.4,12,0.0
Tomato,33.9,63.7,5.926,16.0,21,0.0
Tomato,16.7,87.8,1.157,13.6,21,0.0
Carrot,29.2,72.0,0.788,6.2,30,0.0
Onion_Green,2.2,99.0,0.134,8.1,25,14.7
Potato,25.3,84.1,1.208,131.2,200,0.0
Grapes,15.3,85.7,0.301,6.2,45,5.5
Banana,22.6,81.0,4.841,17.1,20,0.0
Spinach,3.8,100.0,0.223,9.3,12,0.0
Grapes,-1.7,88.8,0.188,21.5,45,15.4
Carrot,37.7,72.5,3.002,10.3,30,0.0
Banana,13.7,92.2,1.378,11.5,20,0.0
Banana,24.2,87.0,0.833,3.6,20,4.7
Onion,35.8,75.3,0.966,91.2,180,0.0
Spinach,2.5,96.2,0.01,0.3,12,11.6
Strawberry,-2.0,100.0,0.985,3.5,5,0.0
Strawberry,35.4,57.5,3.293,0.3,5,0.0
Potato,7.0,92.3,0.039,24.1,200,173.7
Onion_Green,-0.4,97.4,0.255,19.3,25,0.0
Grapes,-0.3,96.8,0.315,33.8,45,0.0
Spinach,12.8,89.5,0.308,5.8,12,0.0
Apple,1.8,86.1,0.351,52.5,180,91.2
Orange,6.9,97.4,0.648,62.5,70,0.0
Spinach,14.6,83.6,0.505,7.7,12,0.0
Grapes,1.0,98.7,0.089,7.2,45,35.1
Onion,18.6,73.9,0.163,82.4,180,56.1
Mango,23.8,78.9,2.2,10.7,21,0.0
Broccoli,-0.7,98.8,0.238,13.1,18,0.9
Apple,37.8,65.6,9.428,44.5,180,0.0
Bell Pepper,28.1,55.3,0.089,0.4,18,10.5
Grapes,8.8,82.5,0.345,11.9,45,1.8
Strawberry,10.5,82.9,4.569,4.6,5,0.0
Apple,3.0,99.3,0.222,25.7,180,138.4
Broccoli,34.8,65.6,10.786,15.7,18,0.0
Broccoli,30.1,64.6,2.923,5.4,18,0.0
Spinach,1.1,94.5,0.01,0.5,12,11.4
Onion_Green,8.0,80.2,0.551,13.2,25,0.0
Mango,14.3,87.8,2.745,15.6,21,0.0
Broccoli,12.9,88.2,1.477,16.0,18,0.0
Onion,19.9,67.8,0.147,80.0,180,85.8
Apple,-0.3,96.3,0.312,58.0,180,90.9
Bell Pepper,22.9,88.0,0.669,3.6,18,0.0
Mango,9.8,99.9,1.496,13.2,21,0.0
Carrot,2.5,100.0,0.19,16.6,30,8.3
Spinach,30.1,80.3,1.242,5.7,12,0.0
Apple,31.1,79.6,8.852,86.5,180,0.0
Potato,36.1,67.4,2.581,100.1,200,0.0
Strawberry,2.4,90.7,0.457,1.1,5,3.1
Strawberry,2.5,99.8,0.559,1.4,5,2.1
Cucumber,13.1,100.0,0.485,11.5,14,0.0
Carrot,0.4,99.4,0.079,6.4,30,22.8
Onion,36.9,57.1,0.449,33.4,180,0.0
Onion,23.3,72.9,0.158,55.2,180,92.1
Banana,33.3,83.9,11.49,15.2,20,0.0
Strawberry,8.2,90.3,1.301,1.9,5,0.0
Cucumber,7.0,89.5,0.103,4.4,14,6.5
Potato,29.2,58.6,0.38,29.0,200,0.0
Apple,4.8,97.4,0.012,1.3,180,178.2
Orange,5.8,93.5,0.169,19.8,70,41.2
Spinach,-0.2,94.1,0.101,9.3,12,0.6
Spinach,-0.0,96.8,0.167,9.9,12,0.0
Grapes,0.1,93.2,0.107,12.5,45,30.8
Mango,12.3,94.1,1.356,10.0,21,0.0
Orange,4.3,91.1,0.281,47.1,70,2.4
Onion,31.0,56.7,0.117,16.8,180,106.9
Onion,28.7,79.3,0.249,55.6,180,0.0
Mango,12.3,93.4,1.533,14.5,21,0.0
Orange,31.0,79.1,4.91,44.2,70,0.0
Tomato,36.9,75.7,13.646,18.0,21,0.0
Apple,4.3,88.4,0.664,98.0,180,0.0
Tomato,17.2,88.1,1.068,17.1,21,0.0
Spinach,0.2,97.8,0.105,8.3,12,2.6
Cucumber,13.7,92.9,0.679,12.6,14,0.0
Banana,33.8,63.3,1.932,2.0,20,0.0
Broccoli,35.9,77.9,5.166,7.5,18,0.0
Bell Pepper,22.0,84.7,1.718,10.5,18,0.0
Apple,10.5,84.7,1.911,119.6,180,0.0
Onion_Green,11.9,87.1,0.612,11.4,25,0.0
Carrot,28.1,73.1,0.015,0.1,30,28.0
Banana,16.2,89.7,0.712,4.3,20,11.3
Onion,29.9,57.6,0.182,27.0,180,77.1
Spinach,14.0,95.1,0.189,3.6,12,0.0
Broccoli,6.2,91.7,0.416,10.5,18,0.0
Bell Pepper,9.1,96.7,0.545,14.1,18,0.0
Onion,21.9,62.8,0.054,23.2,180,150.2
Bell Pepper,10.8,88.9,0.256,5.3,18,10.6
Cucumber,10.6,94.4,0.389,13.0,14,0.0
Spinach,-2.0,99.4,0.024,1.8,12,9.8
Carrot,-1.8,98.7,0.082,10.9,30,16.3
Grapes,1.2,91.2,0.195,24.3,45,14.0
Broccoli,1.5,97.6,0.205,9.5,18,5.7
Banana,23.9,85.5,4.802,12.9,20,0.0
Broccoli,10.0,88.9,0.36,6.9,18,0.0
Orange,3.4,87.9,0.01,0.5,70,69.5
Apple,36.4,69.7,15.0,152.3,180,0.0
Broccoli,-2.0,96.7,0.073,5.0,18,12.2
Broccoli,2.0,98.9,0.33,15.7,18,0.0
Spinach,2.9,99.0,0.093,3.9,12,7.3
Strawberry,-0.1,93.8,0.192,1.1,5,3.6
Bell Pepper,22.3,78.6,1.843,14.9,18,0.0
Bell Pepper,9.6,93.1,0.223,6.8,18,9.3
Banana,13.1,91.1,0.422,3.4,20,14.8
Strawberry,30.3,80.8,2.176,0.4,5,0.0
Orange,0.9,94.8,0.098,17.7,70,38.0
Carrot,28.2,64.7,4.507,28.1,30,0.0
Spinach,3.7,100.0,0.185,8.1,12,0.5
Grapes,6.0,82.3,0.89,39.0,45,0.0
Grapes,30.7,70.0,2.477,10.4,45,0.0
Onion_Green,35.2,63.3,6.495,10.1,25,0.0
Spinach,34.2,71.3,4.245,10.5,12,0.0
Spinach,36.3,75.5,0.9,1.8,12,0.0
Spinach,0.1,100.0,0.117,8.0,12,2.5
Tomato,18.7,85.4,1.528,14.8,21,0.0
Orange,7.9,87.5,0.728,51.4,70,0.0
Spinach,-1.1,100.0,0.056,4.0,12,7.2
Onion_Green,2.3,100.0,0.519,23.1,25,0.0
Broccoli,5.5,82.5,0.288,8.2,18,0.0
Onion_Green,10.3,86.2,0.849,23.0,25,0.0
Strawberry,12.5,89.7,2.186,1.9,5,0.0
Strawberry,36.7,61.9,15.0,3.2,5,0.0
Broccoli,37.6,77.7,2.605,2.6,18,0.0
Broccoli,-1.2,96.5,0.199,8.2,18,7.6
Strawberry,8.4,84.2,1.316,2.1,5,0.0
Carrot,2.5,100.0,0.167,16.8,30,8.3
Tomato,15.8,91.0,1.039,11.3,21,0.0
Onion,17.6,64.8,0.205,123.9,180,5.9
Spinach,1.0,95.9,0.01,0.5,12,11.5
Cucumber,14.6,95.6,0.13,2.7,14,10.4
Carrot,-1.5,92.4,0.168,19.2,30,1.3
Strawberry,31.0,74.7,8.978,1.3,5,0.0
Spinach,1.7,93.5,0.052,2.7,12,8.8
Grapes,-0.9,96.4,0.165,17.0,45,22.6
Potato,7.9,95.7,0.114,77.7,200,105.8
Mango,34.1,79.1,11.515,10.1,21,0.0
Onion_Green,28.5,70.8,3.285,13.4,25,0.0
Spinach,34.9,54.2,3.253,6.2,12,0.0
Onion,22.5,67.9,0.215,129.6,180,0.1
Grapes,2.0,87.2,0.2,17.0,45,19.2
Strawberry,11.6,80.1,1.75,2.1,5,0.0
Grapes,-2.0,100.0,0.039,4.9,45,37.7
Apple,30.3,75.8,13.979,96.6,180,0.0
Broccoli,29.1,84.5,7.253,14.4,18,0.0
Tomato,15.7,94.5,1.034,11.3,21,0.0
Strawberry,2.7,76.3,1.1,2.4,5,0.0
Carrot,-2.0,96.0,0.157,20.8,30,1.3
Tomato,26.2,75.4,0.5,2.2,21,11.2
Mango,22.7,78.7,1.385,4.7,21,0.0
Bell Pepper,9.6,100.0,0.15,6.5,18,7.8
Orange,30.5,82.7,1.57,15.2,70,0.0
Tomato,14.6,89.2,1.044,13.4,21,0.0
Orange,37.6,84.3,9.763,42.5,70,0.0
Onion,30.5,68.3,0.782,101.9,180,0.0
Strawberry,34.3,53.1,12.08,1.7,5,0.0
Mango,20.8,84.1,2.572,10.4,21,0.0
Carrot,-2.0,95.3,0.139,24.8,30,0.0
Bell Pepper,11.3,88.9,0.033,0.9,18,16.9
Orange,12.2,74.3,0.301,16.3,70,11.8
Banana,32.8,55.7,0.777,1.0,20,2.3
Banana,27.5,84.5,3.95,7.3,20,0.0
Onion,33.3,73.4,0.184,27.0,180,45.9
Potato,10.8,88.1,0.125,64.6,200,110.2
Mango,34.4,71.5,8.572,8.0,21,0.0
Cucumber,13.7,100.0,0.026,0.5,14,13.4
Bell Pepper,11.9,89.6,0.414,9.4,18,2.8
Spinach,13.7,91.4,0.374,5.7,12,0.0
Tomato,18.2,85.0,1.443,14.7,21,0.0
Bell Pepper,22.3,83.7,1.252,12.2,18,0.0
Orange,4.5,91.7,0.014,1.6,70,68.1
Broccoli,35.3,50.8,8.399,11.8,18,0.0
Broccoli,30.6,65.1,7.702,14.4,18,0.0
Grapes,8.9,92.1,0.039,1.4,45,41.3
Strawberry,0.6,90.1,0.92,2.6,5,0.0
Banana,29.6,59.4,0.831,2.0,20,0.0
Onion_Green,14.2,93.5,0.789,14.7,25,0.0
Spinach,2.6,100.0,0.01,0.2,12,11.8
Onion_Green,30.2,50.3,3.462,11.2,25,0.0
Tomato,35.4,79.0,1.026,2.2,21,0.0
Onion,30.7,55.0,0.093,12.9,180,122.6
Carrot,0.3,100.0,0.224,22.9,30,0.0
Mango,28.9,64.1,2.817,4.1,21,0.0
Spinach,2.0,96.2,0.013,0.8,12,11.2
Apple,1.9,96.0,0.635,85.4,180,22.1
Cucumber,36.1,78.9,1.06,2.5,14,0.0
Tomato,17.8,91.1,0.962,9.5,21,0.0
Onion,32.3,64.5,0.384,52.1,180,0.0
Onion_Green,2.5,100.0,0.236,10.0,25,10.5
Tomato,16.4,93.1,0.576,7.8,21,6.2
Banana,35.6,83.8,0.81,0.8,20,10.8
Apple,11.8,80.4,2.157,112.7,180,0.0
Carrot,3.6,100.0,0.327,28.3,30,0.0
Broccoli,3.1,81.3,0.259,8.9,18,0.0
Onion,17.6,66.4,0.031,21.7,180,154.8
Banana,26.0,85.5,7.559,17.2,20,0.0
Grapes,1.2,100.0,0.217,22.2,45,8.1
Spinach,0.8,98.6,0.05,2.6,12,9.2
Bell Pepper,37.5,55.9,2.792,4.6,18,0.0
Mango,27.1,85.9,12.854,18.4,21,0.0
Onion_Green,0.6,95.7,0.154,8.8,25,14.3
Apple,11.7,82.5,3.09,133.3,180,0.0
Tomato,17.8,91.4,0.328,3.3,21,15.9
Bell Pepper,10.8,89.3,0.558,10.8,18,0.0
Potato,31.8,69.9,1.177,85.5,200,0.0
Banana,13.6,93.9,0.632,5.4,20,10.5
Tomato,17.0,93.2,0.93,10.9,21,0.0
Tomato,30.7,79.7,3.454,8.6,21,0.0
Mango,21.9,78.8,3.991,13.2,21,0.0
Tomato,28.2,69.6,3.099,12.9,21,0.0
Carrot,-0.5,97.2,0.262,28.3,30,0.0
Bell Pepper,9.2,93.8,0.195,5.4,18,11.2
Tomato,18.4,93.0,0.389,4.2,21,13.8
Apple,12.2,77.3,1.998,100.6,180,0.0
Onion_Green,2.3,93.4,0.311,18.5,25,0.0
Carrot,37.8,54.3,9.678,25.7,30,0.0
Onion_Green,28.4,75.7,0.308,1.2,25,0.2
Carrot,0.7,94.3,0.24,20.6,30,2.0
Strawberry,1.4,96.1,0.625,1.6,5,2.0
Onion_Green,12.2,82.9,0.108,1.7,25,15.7
Potato,8.8,99.0,0.196,156.0,200,0.0
Grapes,29.5,78.9,0.812,4.1,45,0.0
Bell Pepper,12.5,100.0,0.126,2.3,18,14.2
Banana,29.6,81.0,7.826,16.4,20,0.0
Onion,29.2,49.1,1.119,155.6,180,0.0
Bell Pepper,32.5,80.3,0.718,2.3,18,0.0
Banana,12.9,94.1,0.386,4.8,20,12.9
Onion,27.7,62.8,0.06,13.9,180,146.5
Apple,36.6,69.9,15.0,110.5,180,0.0
Carrot,1.4,96.3,0.198,16.0,30,10.0
Onion_Green,-1.4,94.4,0.161,12.1,25,9.3
Carrot,8.1,85.4,0.187,7.8,30,5.1
Banana,27.1,87.0,8.403,15.5,20,0.0
Grapes,9.8,88.1,0.169,4.8,45,29.4
Banana,13.0,93.1,0.116,0.9,20,18.9
Mango,35.7,78.5,1.17,0.7,21,11.0
Broccoli,0.1,98.8,0.039,2.3,18,15.5
Banana,12.1,96.9,1.163,9.9,20,0.0
Tomato,30.1,70.7,5.579,14.0,21,0.0
Mango,14.5,98.1,1.919,12.1,21,0.0
Orange,5.2,86.2,0.063,6.8,70,62.6
Potato,10.5,100.0,0.214,114.3,200,4.7
Apple,1.1,86.4,0.893,148.3,180,0.0
Spinach,10.2,88.5,0.193,3.8,12,0.0
Apple,1.9,93.7,0.934,158.0,180,0.0
Mango,34.3,72.1,15.0,15.3,21,0.0
Potato,37.6,55.3,5.6,163.9,200,0.0
Potato,37.6,77.8,1.968,77.5,200,0.0
Onion,22.4,64.4,0.029,18.3,180,157.8
Cucumber,10.7,93.6,0.388,13.1,14,0.0
Bell Pepper,23.6,87.1,1.93,12.9,18,0.0
Onion,19.3,64.9,0.011,6.4,180,173.2
Grapes,-0.5,88.7,0.181,19.8,45,18.9
Potato,11.4,77.0,0.182,93.3,200,0.0
Potato,12.1,100.0,0.22,106.5,200,0.0
Grapes,30.7,69.3,7.627,26.3,45,0.0
Broccoli,3.0,93.6,0.471,16.5,18,0.0
Apple,37.2,69.7,6.246,24.0,180,0.0
Onion,20.7,68.5,0.307,128.2,180,2.4
Banana,37.0,79.8,4.438,4.2,20,0.0
Banana,14.6,91.7,1.712,12.3,20,0.0
Banana,32.7,85.2,11.4,12.1,20,0.0
Orange,34.7,82.6,3.735,27.0,70,0.0
Grapes,-0.5,88.0,0.408,38.8,45,0.0
Broccoli,0.4,100.0,0.366,13.5,18,0.0
Carrot,1.4,95.2,0.155,18.2,30,7.8
